date,merchant,tier,reason,amount,transaction_id
2026-08-18,ATM (NATIONAL),tier_3_exception,ATM cash withdrawal of 3000.00 on 2026-08-18 has no counterparty in UPI/payment history.,-3000.0,
2026-08-18,Divya Nair,tier_1_exact_id,Matched via exact UPI reference ID,-99.11,773205785883
2026-08-18,Mohammed Hasan Kabir,tier_1_exact_id,Matched via exact UPI reference ID,299.84,521072509156
2026-08-19,AYESHA SID,tier_2_amount_date,Matched via single candidate (date + amount),-727.03,524400230415
2026-08-19,Vikram Oberoi,tier_1_exact_id,Matched via exact UPI reference ID,-50000.0,569368628662
2026-08-19,ROHIT VERM,tier_3_exception,Found 4 GPay transactions with identical amount -250.00 on 2026-08-19; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-19,VIKRAM OBE,tier_3_exception,Found 4 GPay transactions with identical amount -250.00 on 2026-08-19; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-19,DIVYA NAIR,tier_3_exception,Found 4 GPay transactions with identical amount -250.00 on 2026-08-19; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-19,Cheque Clearing,tier_3_exception,Cheque clearing deposit of 50000.00 on 2026-08-19 is a direct bank operation with no UPI record.,-50000.0,
2026-08-19,BigBasket REFUND,tier_1_exact_id,Matched via exact UPI reference ID,434.66,584900126654
2026-08-19,FATIMA SHE,tier_3_exception,Found 4 GPay transactions with identical amount -250.00 on 2026-08-19; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-19,Swiggy,tier_1_exact_id,Matched via exact UPI reference ID,-1834.84,338095306330
2026-08-20,PRIYA RAME,tier_2_amount_date,Matched via single candidate (date + amount),-3232.95,787094833018
2026-08-20,Karan Malhotra,tier_1_exact_id,Matched via exact UPI reference ID,-1200.14,616636171359
2026-08-20,KARAN MALH,tier_2_amount_date,Matched via single candidate (date + amount),-2275.29,281352750162
2026-08-20,FATIMA SHE,tier_2_amount_date,Matched via single candidate (date + amount),-3073.24,496792842666
2026-08-21,Zomato REFUND,tier_1_exact_id,Matched via exact UPI reference ID,1128.43,552666462602
2026-08-21,Sanjay Iyer,tier_1_exact_id,Matched via exact UPI reference ID,-99.23,775382340381
2026-08-21,Swiggy,tier_1_exact_id,Matched via exact UPI reference ID,-624.35,940949830485
2026-08-22,Neha Chopra,tier_1_exact_id,Matched via exact UPI reference ID,-750.66,387551845177
2026-08-22,Divya Nair,tier_1_exact_id,Matched via exact UPI reference ID,-320.67,864338455642
2026-08-23,ACME CORP,tier_3_exception,NEFT salary credit of 45000.00 from ACME CORP on 2026-08-23 is a direct banking transfer with no UPI counterpart.,45000.0,
2026-08-23,Swiggy REFUND,tier_1_exact_id,Matched via exact UPI reference ID,1251.39,249117736569
2026-08-23,Cheque Clearing,tier_3_exception,Cheque clearing deposit of 5000.00 on 2026-08-23 is a direct bank operation with no UPI record.,5000.0,
2026-08-24,Fatima Sheikh,tier_1_exact_id,Matched via exact UPI reference ID,2000.09,781465847684
2026-08-24,Ayesha Siddiqui,tier_1_exact_id,Matched via exact UPI reference ID,500.79,846878837315
2026-08-24,Mohammed Hasan Kabir,tier_1_exact_id,Matched via exact UPI reference ID,2000.28,822787182449
2026-08-25,,tier_3_exception,Bank interest credit of 590.00 on 2026-08-25 is an internal bank entry without a payment app counterpart.,-590.0,
2026-08-25,Zomaot,tier_1_exact_id,Matched via exact UPI reference ID,-2334.97,365058294039
2026-08-25,ROHIT VERM,tier_2_amount_date,Matched via single candidate (date + amount),-2595.09,334790777734
2026-08-25,Divya Nair,tier_1_exact_id,Matched via exact UPI reference ID,-500.38,985159852791
2026-08-26,Arjun Singh Rathore,tier_1_exact_id,Matched via exact UPI reference ID,899.33,488502629567
2026-08-27,Mohammed Hasan Kabir,tier_1_exact_id,Matched via exact UPI reference ID,150.18,785708884709
2026-08-27,Ayesha Siddiqui,tier_1_exact_id,Matched via exact UPI reference ID,500.38,569571961386
2026-08-27,BigBasket,tier_1_exact_id,Matched via exact UPI reference ID,-1392.09,871177435150
2026-08-28,Uber,tier_1_exact_id,Matched via exact UPI reference ID,-1076.21,517564840957
2026-08-28,Sanjay Iyer,tier_1_exact_id,Matched via exact UPI reference ID,899.56,658440194119
2026-08-28,SANJAY IYE,tier_3_exception,Found 3 GPay transactions with identical amount -250.00 on 2026-08-28; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-28,Vikram Oberoi,tier_1_exact_id,Matched via exact UPI reference ID,-45.0,923038573098
2026-08-28,AYESHA SID,tier_2_amount_date,Matched via single candidate (date + amount),-1287.99,218810192925
2026-08-28,PRIYA RAME,tier_3_exception,Found 3 GPay transactions with identical amount -250.00 on 2026-08-28; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-28,Divya Nair,tier_1_exact_id,Matched via exact UPI reference ID,45.18,972620652126
2026-08-28,NEHA CHOPR,tier_3_exception,Found 3 GPay transactions with identical amount -250.00 on 2026-08-28; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-28,Fatima Sheikh,tier_1_exact_id,Matched via exact UPI reference ID,-500.61,989338887875
2026-08-29,Neha Chopra,tier_1_exact_id,Matched via exact UPI reference ID,99.67,578806052288
2026-08-29,Blinkit,tier_1_exact_id,Matched via exact UPI reference ID,-351.96,524510560797
2026-08-29,AYESHA SID,tier_2_amount_date,Matched via single candidate (date + amount),-1573.38,976560320268
2026-08-30,Arjun Singh Rathore,tier_1_exact_id,Matched via exact UPI reference ID,-899.6,379165181127
2026-08-30,Sanjay Iyer,tier_1_exact_id,Matched via exact UPI reference ID,2000.29,274114868528
2026-08-30,Vikram Oberoi,tier_1_exact_id,Matched via exact UPI reference ID,-1200.65,391379449517
