Date,Description,Withdrawal,Deposit
28/08/2026,UPI/658440194119/Sanjay Iyer/Payment,,899.56
28/08/2026,POS/SANJAY IYE/RETAIL,250.00,
28/08/2026,UPI/923038573098/Vikram Oberoi/Payment,45.00,
28/08/2026,POS/AYESHA SID/RETAIL,1287.99,
28/08/2026,POS/PRIYA RAME/RETAIL,250.00,
28/08/2026,UPI/972620652126/Divya Nair/Payment,,45.18
28/08/2026,POS/NEHA CHOPR/RETAIL,250.00,
28/08/2026,UPI/989338887875/Fatima Sheikh/Payment,500.61,
29/08/2026,UPI/578806052288/Neha Chopra/Payment,,99.67
29/08/2026,UPI/524510560797/Blinkit/Payment,351.96,
29/08/2026,POS/AYESHA SID/RETAIL,1573.38,
30/08/2026,UPI/379165181127/Arjun Singh Rathore/Payment,899.60,
30/08/2026,UPI/274114868528/Sanjay Iyer/Payment,,2000.29
30/08/2026,UPI/391379449517/Vikram Oberoi/Payment,1200.65,
