Date,Time,Description,Transaction ID,Amount,Merchant,Notes,Payment Method
"Aug 20, 2026",10:57 PM,Paid to Priya,895012539902,-2000.28,Priya,,GPay Balance
"Aug 21, 2026",8:31 AM,Received from Arjun Gym,963401305211,+750.62,Arjun Gym,,UPI
"Aug 21, 2026",8:24 AM,Paid to Imran,472347320078,-2850.79,Imran,,Card
"Aug 21, 2026",1:24 PM,Paid to Airtel Postpaid,966382928490,-323.84,Airtel Postpaid,,UPI
"Aug 21, 2026",9:22 PM,Paid to Sanjay Uncle,511151657840,-1750.39,Sanjay Uncle,,UPI
"Aug 22, 2026",11:33 AM,Paid to Manoj,770819608136,-45.83,Manoj,,UPI
"Aug 22, 2026",7:09 AM,Received from Arjun Gym,213887072746,+899.83,Arjun Gym,,UPI
"Aug 23, 2026",11:54 PM,Paid to Ola,723145267115,-1249.56,Ola,,UPI
"Aug 23, 2026",9:23 PM,Paid to Ayesha,366527948265,-2145.03,Ayesha,,Card
"Aug 23, 2026",8:07 PM,Paid to Sneha Di,487452752158,-275.56,Sneha Di,,GPay Balance
"Aug 24, 2026",4:49 PM,Paid to Swiggy,757680671595,-551.99,Swiggy,,UPI
"Aug 24, 2026",7:17 PM,Paid to Electricity Board BESCOM,654710831171,-1063.43,Electricity Board BESCOM,,UPI
"Aug 24, 2026",7:46 AM,Paid to Rohit Office,958992171172,-1141.87,Rohit Office,,Card
"Aug 25, 2026",12:44 PM,Paid to Ayesha,712450360047,-320.92,Ayesha,,UPI
"Aug 25, 2026",9:51 AM,Paid to Local Kirana Store,337727234527,-832.02,Local Kirana Store,,UPI
"Aug 25, 2026",2:47 PM,Received from Rohit Office,907450348014,+60.37,Rohit Office,,UPI
"Aug 25, 2026",2:06 PM,Paid to Priya,899244978216,-3315.38,Priya,,Card
"Aug 26, 2026",10:25 PM,Paid to Spotify,706028624008,-405.27,Spotify,,UPI
"Aug 26, 2026",3:30 PM,Paid to Ayesha,452558362365,-500.52,Ayesha,,GPay Balance
"Aug 26, 2026",12:15 PM,Paid to Sneha Di,856194761246,-322.60,Sneha Di,,Card
"Aug 26, 2026",3:20 PM,Paid to Zomato,202581536923,-1366.35,Zomato,,UPI
"Aug 26, 2026",10:56 PM,Paid to Manoj,292956548863,-4500.66,Manoj,,UPI
"Aug 27, 2026",12:03 PM,Received from Manoj,213442468479,+150.63,Manoj,,UPI
"Aug 27, 2026",1:23 PM,Paid to Neha,675899282440,-352.77,Neha,,Card
"Aug 27, 2026",7:00 AM,Paid to Vikram Landlord,923591853229,-275.35,Vikram Landlord,,UPI
"Aug 28, 2026",11:15 AM,Paid to Swiggy,505149987929,-175.51,Swiggy,,UPI
"Aug 28, 2026",8:59 PM,Received from Divya Roomie,273969679083,+750.86,Divya Roomie,,UPI
"Aug 28, 2026",6:28 PM,Paid to BigBasket,841273885951,-823.76,BigBasket,,UPI
"Aug 28, 2026",10:39 PM,Paid to Arjun Gym,866506373277,-99.78,Arjun Gym,,UPI
"Aug 28, 2026",12:30 PM,Paid to Zomato,733805200078,-2284.08,Zomato,,UPI
"Aug 29, 2026",10:29 PM,Paid to Zomato,395156238388,-105.96,Zomato,,UPI
"Aug 29, 2026",6:49 PM,Paid to Sneha Di,814711646340,-3376.74,Sneha Di,,Card
"Aug 29, 2026",10:24 AM,Paid to Myntra,241542012238,-1524.95,Myntra,,UPI
"Aug 29, 2026",4:41 PM,Paid to Spotify,803252781888,-1165.97,Spotify,,UPI
"Aug 29, 2026",10:17 PM,Paid to Ayesha,437552699486,-1200.18,Ayesha,,UPI
"Aug 30, 2026",6:21 PM,Paid to Neha,236368133067,-1125.80,Neha,,Card
"Aug 30, 2026",9:35 AM,Paid to Karan Bro,434107653877,-99.09,Karan Bro,,GPay Balance
"Aug 30, 2026",2:39 PM,Received from Vikram Landlord,591559464006,+89.22,Vikram Landlord,,UPI
"Aug 30, 2026",9:01 AM,Paid to Hasan Bhai,824936515094,-4500.81,Hasan Bhai,,UPI
"Aug 30, 2026",4:52 PM,Paid to Manoj,399701121294,-80.03,Manoj,,Card
"Aug 30, 2026",6:08 PM,Received from Neha,282509366016,+320.09,Neha,,UPI
"Aug 30, 2026",12:16 PM,Paid to Neha,884050248914,-299.04,Neha,,UPI
