Date,Description,Withdrawal,Deposit,Category,Currency
13/08/2026,UPI/399599822755/Karan Malhotra/Payment,250.00,,Personal Transfer,INR
13/08/2026,UPI/910386547652/Netflix/Payment,1107.43,,Entertainment,INR
13/08/2026,UPI/334686771360/Karan Malhotra/Payment,250.00,,Personal Transfer,INR
13/08/2026,UPI/371905354805/Zomato/Payment,2377.35,,Food & Dining,INR
13/08/2026,UPI/631210330628/Karan Malhotra/Payment,150.48,,Personal Transfer,INR
14/08/2026,UPI/606022976513/Arjun Singh Rathore/Payment,320.57,,Rent Split,INR
14/08/2026,POS/ROHIT VERM/RETAIL,3457.99,,Transport,INR
14/08/2026,UPI/281154632032/Sanjay Iyer/Payment,,750.94,Personal Transfer,INR
14/08/2026,POS/VIKRAM OBE/RETAIL,166.83,,Transport,INR
14/08/2026,UPI/899174012831/Neha Chopra/Payment,,1200.09,Food,INR
14/08/2026,POS/SNEHA KULK/RETAIL,3124.86,,Transport,INR
14/08/2026,UPI/595078867786/Sneha Kulkarni/Payment,60.88,,Bill Payment,INR
14/08/2026,UPI/609171509327/Blinkit REFUND/Payment,,890.40,Groceries,INR
15/08/2026,UPI/278666534228/Priya Ramesh Patel/Payment,,60.24,Bill Payment,INR
15/08/2026,UPI/488713898465/Airtel Posptaid/Payment,2228.76,,Utilities,INR
15/08/2026,UPI/713102123210/Manoj Kumar Yadav/Payment,89.12,,Rent Split,INR
15/08/2026,POS/ROHIT VERM/RETAIL,59.90,,Shopping,INR
15/08/2026,UPI/204734481719/Spotify/Payment,1620.74,,Entertainment,INR
16/08/2026,UPI/509879584664/Arjun Singh Rathore/Payment,,1750.62,Personal Transfer,INR
16/08/2026,POS/MANOJ KUMA/RETAIL,2774.81,,Food,INR
16/08/2026,UPI/942534770374/Myntra/Payment,1078.46,,Shopping,INR
16/08/2026,UPI/274973831018/Rohit Verma/Payment,4500.09,,Food,INR
16/08/2026,UPI/964650626009/Local Kirana Store/Payment,1809.63,,Groceries,INR
16/08/2026,UPI/262986959215/Ola/Payment,407.78,,Transport,INR
16/08/2026,UPI/879400024910/Blinkit REFUND/Payment,,217.20,Groceries,INR
16/08/2026,UPI/963769118139/Sneha Kulkarni/Payment,,299.52,Rent Split,INR
16/08/2026,UPI/936833086088/Electricity Board BESCOM/Payment,342.49,,Utilities,INR
16/08/2026,UPI/201132981883/Neha Chopra/Payment,899.80,,Rent Split,INR
16/08/2026,UPI/832552116141/Local Kirana Store/Payment,357.52,,Groceries,INR
17/08/2026,UPI/456921089803/Spotify REFUND/Payment,,728.60,Entertainment,INR
17/08/2026,UPI/656800617183/Mohammed Hasan Kabir/Payment,250.00,,Personal Transfer,INR
17/08/2026,UPI/382184450280/Manoj Kumar Yadav/Payment,,89.34,Food,INR
17/08/2026,UPI/647841251628/Neha Chopra/Payment,250.00,,Personal Transfer,INR
17/08/2026,UPI/425077647096/Sneha Kulkarni/Payment,250.00,,Personal Transfer,INR
17/08/2026,UPI/786860817810/Arjun Singh Rathore/Payment,250.00,,Personal Transfer,INR
17/08/2026,UPI/559001014029/Deepika Reddy/Payment,750.54,,Bill Payment,INR
17/08/2026,UPI/468327053776/Sanjay Iyer/Payment,,275.45,Food,INR
17/08/2026,UPI/407513927802/Airtel Postpaid/Payment,964.08,,Utilities,INR
17/08/2026,UPI/677339447176/Deepika Reddy/Payment,4500.19,,Bill Payment,INR
17/08/2026,UPI/765244057280/Divya Nair/Payment,,500.69,Rent Split,INR
17/08/2026,UPI/802303742741/BigBasket/Payment,120.77,,Groceries,INR
18/08/2026,UPI/694866240317/Local Kirana Store/Payment,2491.36,,Groceries,INR
18/08/2026,POS/AYESHA SID/RETAIL,715.94,,Transport,INR
18/08/2026,UPI/229696030019/Sanjay Iyer/Payment,,89.53,Personal Transfer,INR
18/08/2026,UPI/246286268218/Zmoato/Payment,1966.41,,Food & Dining,INR
18/08/2026,UPI/991147732615/Swiggy/Payment,170.27,,Food & Dining,INR
18/08/2026,UPI/556747522506/Vikram Oberoi/Payment,60.52,,Food,INR
19/08/2026,NEFT CR/RAZORPAY SETTLEMENT/BATCH4471,,1505.14,Business Settlement,INR
19/08/2026,UPI/902532973417/Vikram Oberoi/Payment,500.37,,Personal Transfer,INR
20/08/2026,UPI/741668801912/Rohit Verma/Payment,99.22,,Bill Payment,INR
20/08/2026,UPI/895012539902/Priya Ramesh Patel/Payment,2000.28,,Shopping,INR
21/08/2026,UPI/966382928490/Airtel Potspaid/Payment,323.84,,Utilities,INR
21/08/2026,UPI/511151657840/Sanjay Iyer/Payment,1750.39,,Shopping,INR
21/08/2026,POS/IMRAN ALI /RETAIL,2850.79,,Food,INR
21/08/2026,UPI/963401305211/Arjun Singh Rathore/Payment,,750.62,Personal Transfer,INR
22/08/2026,UPI/213887072746/Arjun Singh Rathore/Payment,,899.83,Shopping,INR
22/08/2026,UPI/770819608136/Manoj Kumar Yadav/Payment,45.83,,Rent Split,INR
23/08/2026,POS/AYESHA SID/RETAIL,2145.03,,Food,INR
23/08/2026,UPI/723145267115/Ola/Payment,1249.56,,Transport,INR
23/08/2026,UPI/487452752158/Sneha Kulkarni/Payment,275.56,,Food,INR
24/08/2026,UPI/757680671595/Swiggy/Payment,551.99,,Food & Dining,INR
24/08/2026,POS/ROHIT VERM/RETAIL,1141.87,,Food,INR
24/08/2026,UPI/654710831171/Electricity Board BESCOM/Payment,1063.43,,Utilities,INR
24/08/2026,ATM WDL/NATIONAL/BR4471,3000.00,,Cash Withdrawal,INR
25/08/2026,UPI/712450360047/Ayesha Siddiqui/Payment,320.92,,Shopping,INR
25/08/2026,POS/PRIYA RAME/RETAIL,3315.38,,Shopping,INR
25/08/2026,UPI/907450348014/Rohit Verma/Payment,,60.37,Bill Payment,INR
26/08/2026,POS/SNEHA KULK/RETAIL,322.60,,Food,INR
26/08/2026,UPI/202581536923/Zomato/Payment,1366.35,,Food & Dining,INR
26/08/2026,UPI/452558362365/Ayesha Siddiqui/Payment,500.52,,Personal Transfer,INR
26/08/2026,UPI/292956548863/Manoj Kumar Yadav/Payment,4500.66,,Food,INR
27/08/2026,INT.PD:SAV AC,,42.50,Interest,INR
27/08/2026,UPI/213442468479/Manoj Kumar Yadav/Payment,,150.63,Shopping,INR
27/08/2026,UPI/923591853229/Vikram Oberoi/Payment,275.35,,Rent Split,INR
27/08/2026,POS/NEHA CHOPR/RETAIL,352.77,,Food,INR
28/08/2026,UPI/733805200078/Zomato/Payment,2284.08,,Food & Dining,INR
28/08/2026,UPI/273969679083/Divya Nair/Payment,,750.86,Personal Transfer,INR
28/08/2026,UPI/505149987929/Swiggy/Payment,175.51,,Food & Dining,INR
28/08/2026,UPI/866506373277/Arjun Singh Rathore/Payment,99.78,,Bill Payment,INR
29/08/2026,UPI/437552699486/Ayesha Siddiqui/Payment,1200.18,,Food,INR
29/08/2026,SI DEBIT/SIP MUTUAL FUND,5000.00,,Investment,INR
29/08/2026,POS/SNEHA KULK/RETAIL,3376.74,,Food,INR
29/08/2026,CHQ DEP CLEARING/00921,,5000.00,Cheque,INR
30/08/2026,UPI/824936515094/Mohammed Hasan Kabir/Payment,4500.81,,Rent Split,INR
30/08/2026,UPI/434107653877/Karan Malhotra/Payment,99.09,,Personal Transfer,INR
30/08/2026,POS/NEHA CHOPR/RETAIL,1125.80,,Food,INR
30/08/2026,UPI/591559464006/Vikram Oberoi/Payment,,89.22,Rent Split,INR
30/08/2026,UPI/282509366016/Neha Chopra/Payment,,320.09,Rent Split,INR
30/08/2026,POS/MANOJ KUMA/RETAIL,80.03,,Transport,INR
30/08/2026,UPI/884050248914/Neha Chopra/Payment,299.04,,Bill Payment,INR
